V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,CLASS
8101,242971,0,35,8310,0,0,243223,244628,0,247911,7820,245031,7938,0,8430,0,8808,247353,250000,0
0,3862,-2,35,1783,-2,-2,0,1780,-2,0,2500,0,0,-2,0,-2,0,0,240000,0
122080,108756,0,29,46980,0,-1,105290,152194,0,146455,138195,149530,64890,0,106625,-1,141711,141711,150000,0
11760,171098,0,28,14000,0,-1,169759,166176,-1,0,6000,11760,5695,-1,0,0,4902,4902,170000,0
1300,12216,0,70,1724,0,0,15495,13724,0,16958,792,16232,2000,0,1000,0,1000,17685,180000,0
4489,191876,0,37,4305,0,0,121473,121296,0,127552,0,123943,4408,0,5660,0,6000,130380,200000,0
1049,26701,0,26,1749,0,0,28725,28014,0,29902,1330,29295,1479,0,1080,0,1280,30683,50000,0
9000,111786,0,41,6000,0,0,117428,115921,0,100148,7130,104153,5000,2,0,2,5000,98165,180000,0
20000,416171,0,30,30000,0,0,460317,437749,0,484993,70152,472621,30000,0,20000,0,20000,496915,500000,0
2500,42451,0,43,2100,0,0,45522,43564,0,37683,2000,46832,3000,0,2000,0,2000,28680,100000,0
1392,20554,0,61,1353,0,0,22587,21560,0,24069,1000,23599,1380,0,862,0,892,24573,180000,1
0,0,-1,32,0,-2,-2,326,0,0,-235,1200,326,326,0,0,1,0,-235,310000,0
1200,16013,0,47,1419,0,0,9086,14334,0,5096,0,5096,1270,0,0,0,104,5200,20000,0
0,0,-1,24,670,-1,-1,0,670,-2,0,477,0,0,-2,0,1,150,150,100000,1
10661,30077,-1,25,2809,-1,-1,7541,2809,-1,2214,0,10661,7541,-1,2214,-1,6020,6020,140000,0
1000,63912,-2,24,2400,-2,0,45078,53137,-1,28989,863,6823,2000,-1,30848,-2,975,29059,70000,0
360,26149,-2,28,3894,-2,-2,360,3860,-2,0,334,360,360,-2,0,-2,720,720,320000,0
355,10462,-1,38,10287,-1,-1,19305,3327,0,8269,0,17748,19305,0,0,-1,1074,1074,20000,0
10008,126113,0,44,5002,0,0,88039,107216,0,77605,10000,83304,5030,0,10017,0,10000,70260,210000,0
1800,21617,0,40,3200,0,0,25239,24133,0,27074,600,26314,1800,0,1500,0,2250,28723,30000,0
1230,2779,-1,36,6428,-1,-1,1086,6375,-1,1230,1750,1230,1086,0,0,-1,2806,2806,120000,1
1554,360,-1,36,2240,-1,-2,6071,2240,-1,0,0,1554,6071,-1,0,-1,0,0,180000,1
2000,27862,0,43,2000,0,2,29784,29106,0,27833,0,29884,1500,2,0,0,3000,29459,30000,0
7521,10929,-2,54,4152,-2,-2,22722,4152,-2,71439,51582,7521,22827,-2,71439,-2,981,8981,500000,0
0,0,-1,28,0,-2,-1,1200,0,-1,600,470,0,1200,-1,600,1,5937,5937,320000,1
4000,120290,0,51,6000,0,2,118405,116082,0,106300,5000,99081,6000,0,9000,0,0,104433,120000,0
16883,5100,-2,30,9861,-2,-2,11021,9861,-2,150,873,16883,11021,-2,150,-2,4661,4661,180000,1
10400,341200,0,33,14000,0,0,324873,328857,0,306269,9000,300004,12000,0,12000,0,12000,273732,350000,1
4500,84196,2,34,2300,2,2,64930,74621,0,50859,3500,58433,2000,0,3300,2,0,40005,100000,1
89000,81865,0,28,5000,0,0,8441,86790,0,103541,1504,97041,2000,0,6500,0,91,3632,200000,0
6822,632,-1,40,316,-1,2,166,316,0,6822,632,6988,166,0,466,-1,0,466,180000,0
3316,25537,0,28,1335,0,-1,16098,23314,-1,3316,3316,3316,10000,-1,3316,0,3316,3316,460000,0
0,33343,0,41,1502,0,0,27315,31392,0,28890,1000,-60,1000,-1,30070,2,1180,29168,50000,0
1598,24003,0,26,2000,0,0,26237,25597,0,19127,819,19296,1425,0,819,0,705,18997,50000,0
3000,16017,0,46,22000,0,0,18385,30073,0,21196,0,20732,3000,0,1000,0,3000,23175,60000,0
300,780,-1,41,0,-1,0,732,0,0,1252,1000,642,732,0,1000,-1,500,643,20000,1
4500,105418,2,36,5500,2,2,109678,107689,2,111871,4400,110887,5200,2,4300,1,4300,114223,190000,1
4014,113801,0,30,5017,0,0,88467,90354,0,83530,5033,79241,4057,0,8531,0,15005,90573,320000,0
1160,41259,0,35,2000,0,0,39494,37465,0,0,1000,16842,3000,0,1000,0,0,8419,220000,0
2500,19334,2,28,1500,2,2,19607,20218,2,22124,900,21778,0,2,1000,2,1000,22622,30000,0
0,49964,0,27,1000,0,-2,0,50000,-2,0,0,0,0,-2,0,0,0,0,130000,0
0,0,2,26,1000,-1,-2,2000,1000,2,0,0,0,0,-2,0,1,0,0,50000,0
532,0,-2,35,0,-2,-2,26267,0,-2,2948,13780,26599,26267,-2,2948,-2,2065,2065,250000,0
5505,3503,-1,46,3970,-1,-1,858,3354,-1,2263,13000,5505,858,-1,2263,-1,10352,10352,230000,0
0,38386,0,31,3000,0,-2,38597,40726,0,0,0,0,1000,-2,0,0,0,0,220000,0
2186,1200,0,26,990,-1,0,9079,990,0,10159,1200,11186,8089,0,1159,-2,1734,11734,230000,0
14743,20699,-1,43,11614,-1,-1,11487,11614,-1,8172,13733,14716,11487,-1,8172,0,8244,8244,170000,0
680,-93,-1,26,1029,-1,-2,0,936,-1,0,1381,680,0,-1,0,1,0,0,120000,0
6497,230931,0,44,8634,0,0,197003,235635,0,187425,5065,198808,7665,0,5555,0,5027,177340,280000,0
10000,264971,0,28,9043,0,0,253407,257086,0,265149,15000,259551,8847,0,10000,0,80016,340930,360000,0
11417,21382,0,25,4000,0,0,19327,19133,0,33483,5000,26992,5000,0,10000,0,10000,37465,390000,0
10318,316,-2,47,21359,-2,-2,2762,21359,-2,316,31600,10264,2762,-2,316,-2,17677,9801,240000,0
5000,5583,-1,23,5000,0,0,4408,8959,0,9038,10000,9071,7000,0,5000,0,1000,5005,10000,1
1955,47669,0,43,2000,0,0,45718,48102,0,40981,0,44142,1731,0,1454,0,3300,43634,50000,0
1200,60679,0,33,0,2,0,54425,54947,0,19399,563,48313,4500,-1,71941,2,619,19804,50000,1
0,112570,2,44,0,2,0,118539,109131,2,115793,4260,115029,11323,0,4294,2,4700,118335,130000,1
93000,-151,0,37,78130,-1,0,47213,27952,0,87332,12014,121013,20000,0,30000,-2,20000,106519,400000,0
880,440,-1,30,30404,-1,-1,0,30404,-1,150,747,880,0,-1,150,-1,430,430,180000,0
1500,17936,2,35,0,3,2,16792,17368,2,17583,0,18013,0,2,0,4,1708,18998,20000,1
7096,260733,0,34,20255,0,0,232762,228515,0,194608,10000,208005,50171,0,6604,0,10012,201044,450000,0
