V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
10000,8617,-1,57,2000,0,0,35835,5670,0,19146,679,20940,36681,0,9000,-1,689,19131,50000
3000,65802,2,30,3200,2,2,65701,67369,0,36137,0,66782,0,0,3000,1,1500,36894,70000
3000,70887,0,29,3000,0,0,63561,67060,0,56875,3000,59696,3000,0,3000,0,3000,55512,250000
0,0,-2,49,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,360000
1000,38358,0,39,3000,0,-1,24489,27688,0,11802,33764,20616,1537,0,2000,0,930,930,130000
0,316,-1,39,316,-1,-1,316,316,-1,632,0,0,316,-1,632,-1,316,316,120000
1000,22541,0,30,1300,0,0,17163,16138,0,18931,1012,17878,1300,0,1500,0,1000,19617,50000
1000,15329,0,26,1500,0,0,17496,16575,0,18375,0,17907,1500,0,1000,0,1600,11400,50000
3302,93036,0,32,3023,0,0,82880,84071,0,78703,2504,80958,3511,0,3204,0,3200,75589,100000
3180,13709,-2,58,5006,-2,-2,31130,5006,-2,0,768,3180,31178,-2,0,-2,5293,5293,500000
2043,15054,0,22,1500,0,-1,11068,9806,0,-28335,617,6026,1518,0,0,0,47671,18660,60000
6000,218668,0,33,10000,0,0,206895,221296,0,195969,4000,628699,7000,0,188840,0,28000,179224,360000
4042,67521,0,25,3000,0,0,63949,66999,0,64718,2500,63699,4500,0,2500,0,2800,65970,70000
0,18927,0,30,3000,0,0,25921,21295,2,26636,0,25209,5000,0,2000,0,3000,29197,40000
16741,14028,2,22,3000,0,0,15800,16484,-1,16675,0,16341,0,0,334,0,0,0,20000
1500,61559,0,43,2000,0,0,43824,51163,0,35762,1000,39619,1606,0,2000,0,1500,33258,100000
1049,46224,0,29,1600,0,0,31434,34993,0,21042,5000,26518,1718,0,1500,2,2000,16540,150000
0,1905,-2,45,3640,-2,-2,162,3640,-2,151,0,0,162,-2,151,-2,2530,2530,500000
5253,175886,0,34,8083,0,0,172308,173440,0,132202,3800,168608,7296,0,4814,0,4816,129918,180000
700,1587,2,34,0,3,2,782,1098,2,700,0,1166,0,2,0,-1,1200,1414,200000
30000,400134,0,29,17000,0,0,404205,398857,0,356656,23000,360199,15029,0,12000,0,12000,364089,400000
1000,22848,0,28,1516,0,0,18878,23638,0,13827,2000,14937,1300,0,1000,0,2000,15571,500000
1000,70800,0,39,4025,0,-1,69938,72060,0,14096,0,16518,2095,0,2000,0,3000,830,70000
0,24987,2,29,0,2,2,26591,24300,2,27667,0,25865,2700,2,2225,2,1200,28264,50000
0,99,-2,51,0,-1,-1,0,0,-2,2353,0,0,0,-1,2353,-1,0,0,130000
0,0,-1,37,0,-2,-1,3155,0,-1,2359,0,0,3155,-1,2359,1,0,0,290000
4314,3048,-1,32,5713,-1,-1,23337,5550,-1,80153,2016,4291,23453,-1,80552,-1,25949,25820,340000
610,14619,2,24,2850,0,0,16642,17216,0,17332,0,16976,0,0,630,0,1500,18543,20000
3000,165254,0,33,6400,0,0,162702,157784,0,29271,3000,69923,7566,0,960,0,1000,29889,470000
700,48909,0,49,1676,0,0,21489,47863,0,19342,826,20414,1302,0,699,0,849,19482,50000
2000,3826,0,32,1147,0,-1,6604,4751,0,7072,2303,8604,2000,0,0,0,766,766,160000
5500,138180,2,53,6300,2,2,142460,140774,2,147124,5000,144098,5500,2,5500,2,5000,149531,200000
1179,83725,0,35,3621,0,0,87653,85996,0,30942,1143,35565,3597,0,1112,0,1104,30835,90000
626,17973,0,38,1699,0,-1,19559,19367,0,17928,0,18240,1460,0,1750,0,150,150,20000
1171,-81,-1,30,223,-2,0,32475,-303,0,33564,5000,32891,33178,0,1197,-2,1250,34056,380000
1002,44698,0,22,1767,0,0,38347,42254,0,23477,904,32496,1362,0,840,0,995,24094,50000
0,5580,-2,24,0,-1,-1,0,0,-2,0,2000,0,0,-2,0,-1,26529,26529,70000
867,713,-1,52,2272,-1,-1,722,2272,-1,1150,5011,867,722,-1,1150,-1,5263,5263,350000
3593,105879,2,31,9260,0,0,105594,108431,0,106491,0,105896,0,0,4100,0,15794,107289,330000
3076,52128,0,24,2000,0,0,54477,52692,0,60100,2033,56076,2677,0,5080,0,3000,59713,100000
700,19015,0,41,1340,0,0,20259,19294,0,20311,684,20274,1305,0,718,0,724,19957,50000
1000,14029,0,26,2000,0,0,16630,15493,0,17629,1000,17055,1700,0,1000,2,1000,18186,80000
3602,110151,0,52,3568,0,0,98951,99530,0,103146,3784,100914,3585,0,3848,0,3669,104993,200000
2067,163736,0,36,4655,0,0,99278,116422,0,97753,1000,95766,2690,0,2142,0,2217,95927,180000
27,4000,-2,23,5645,-2,-1,3508,5645,-2,13744,3024,-27,3508,-1,13771,1,5911,5906,30000
8025,227389,0,46,8210,0,0,229644,228719,0,227775,8200,227587,8095,0,8175,0,8391,228203,330000
1000,50801,0,24,2360,0,0,49586,50143,0,19375,2130,19430,1700,0,900,0,870,18995,50000
400,10131,2,23,1000,2,0,20583,10833,2,19879,600,19996,10000,0,700,1,800,18065,50000
10000,12159,-2,29,10000,-2,-2,10000,10000,-2,9983,10000,10000,10000,-2,9983,-2,15863,15846,170000
55500,197236,0,34,8000,2,0,93069,176192,0,132233,8500,135668,5000,0,5000,1,5000,59875,200000
0,9168,3,23,1650,2,0,10205,10522,2,10123,1,9898,0,0,379,1,2091,12034,80000
1000,9014,0,26,1700,0,0,11427,10406,0,13084,1500,11935,1500,0,1500,0,1500,14206,30000
500,12854,0,57,0,2,0,13447,12362,0,13711,600,13427,1600,0,500,3,600,14083,50000
2200,24357,2,41,3500,2,0,26718,27453,2,27579,1250,28168,0,2,0,2,1200,28321,30000
1500,21148,0,46,3000,0,0,24908,23803,0,26655,1500,26034,1500,0,1000,0,1500,27756,60000
4340,688,-1,30,3288,-1,-1,0,3280,-1,2672,746,4340,0,-1,2672,-1,800,800,300000
149,8567,0,22,15000,0,0,11650,15273,0,3115,10000,7457,1000,0,0,-1,5000,7725,50000
1000,6187,0,30,504,-1,0,600,100,0,1919,0,1438,500,0,500,-2,3500,5380,80000
1000,48860,0,30,0,2,2,48363,47801,0,22877,2000,30221,1500,0,2000,1,0,22361,50000
2000,12212,2,37,15000,-1,-1,25331,26578,0,26279,65935,26605,0,0,0,-1,1256,1256,240000
3000,58024,0,24,2500,0,0,48839,57891,0,19323,2000,18971,1600,0,1000,0,737,19395,60000
601,10642,0,25,1200,0,-1,13070,11677,0,1615,0,12280,1593,0,135,0,1824,1620,20000
68454,2616,-1,32,57087,-1,-1,5287,57077,-1,13881,38313,68445,5295,-1,13889,1,16250,16240,360000
6800,199436,2,47,8214,2,2,193936,202947,2,200162,6836,196186,7000,2,7134,2,0,189915,200000
0,21703,4,31,0,5,2,21461,21087,4,20219,0,20835,1000,3,0,1,760,20487,20000
2000,19625,0,27,1342,0,0,21669,20347,0,22499,846,23005,1664,2,0,2,900,22873,60000
200,14670,2,24,37867,-1,-2,21282,22087,0,0,0,10200,0,0,0,-1,0,0,180000
116,0,-2,34,0,-2,-2,0,0,-2,0,0,116,0,-2,0,-2,1500,1500,150000
541,18553,0,22,1500,0,0,19065,19446,0,18868,1000,8332,1032,-1,20000,0,693,19247,20000
3000,27123,2,31,25000,0,2,17985,27299,0,27407,2500,20225,0,0,7800,0,0,10833,140000
5841,13424,-1,26,10000,0,-1,13001,18000,-1,13506,7004,5818,13001,-1,13506,-1,487,487,140000
4152,107314,0,26,5000,0,0,113736,110578,0,119131,5000,116000,5000,0,5000,0,5000,122135,120000
5800,226430,0,48,9100,0,0,234192,231878,0,173557,4100,190211,7300,0,5600,0,5600,146511,360000
390,390,-1,47,1473,-1,-1,390,1473,-1,390,2380,390,390,-1,390,-1,0,0,100000
1200,38257,0,43,1700,0,0,38103,38901,0,33138,1000,36207,1504,0,1500,0,1500,31339,40000
0,28347,0,39,3036,0,0,18388,28108,2,7736,148,12992,2309,0,1000,0,2000,8032,30000
0,-946,-2,36,0,-2,-2,-946,-946,-2,-946,0,-946,0,-2,0,1,0,-946,240000
17000,291619,0,35,12019,0,0,205629,297268,0,208464,15000,215827,9006,0,12000,0,9557,212508,300000
22500,130370,0,28,6530,0,0,128900,131199,0,127280,4962,125514,4860,0,4820,0,4877,128839,170000
500,19154,0,24,0,2,0,17233,18165,0,1730,3200,7630,1333,0,100,1,0,0,20000
1002,35084,0,24,2090,0,0,30937,35796,0,10385,389,19420,2002,0,238,0,1011,1308,50000
1566,127402,0,27,4500,0,0,51547,110050,0,36900,2529,44384,1745,0,1208,0,1077,29497,150000
0,21501,2,28,0,2,-1,0,20650,-2,0,0,0,0,-2,0,1,2285,2285,60000
900,26655,0,27,1800,0,0,28676,27724,0,28790,1100,27990,1750,0,1200,0,1200,29399,50000
2114,19816,0,40,1601,0,-2,20102,20396,0,0,0,19575,2203,0,0,0,0,0,20000
587,35713,0,46,1561,0,0,16099,15392,0,16765,2000,16418,1268,0,611,0,1000,17484,50000
851,29242,0,28,5006,0,0,29155,29507,0,22001,0,25255,1244,0,955,0,0,0,30000
980,27699,0,25,1565,0,0,29341,28513,0,29533,886,29928,1393,0,994,0,1024,28538,50000
1630,89003,0,49,4100,0,0,72197,91362,0,28065,0,49654,3095,0,561,0,600,27500,130000
0,0,-2,58,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,260000
316,1156,-1,26,316,-1,-1,316,316,-1,316,316,316,316,-1,316,-1,316,316,50000
691,50859,0,33,2007,0,0,50654,50462,0,20067,697,20046,2199,0,707,0,703,19703,50000
10150,127543,0,44,10063,0,-1,92630,109189,0,44149,31031,69669,5162,-1,44299,0,43509,43414,270000
898,898,-1,33,898,-1,-1,325,898,-1,325,345293,898,325,-1,325,-1,0,-339603,280000
1000,49941,0,40,2400,0,0,12104,51213,0,13687,1000,12898,1206,0,1000,0,1000,14458,50000
4000,11968,2,25,2800,0,0,27820,14564,0,15761,2000,15824,0,0,1700,0,1000,12510,20000
0,0,-1,27,5215,-1,-2,0,5215,-2,0,0,0,0,-2,0,1,0,0,300000
2000,9720,2,55,1200,2,4,11339,10613,3,13836,1500,12841,1200,3,1500,2,1500,14514,30000
200,55734,0,27,1631,0,0,33415,52557,0,17580,200,28776,1286,0,645,0,909,6441,100000
618,49507,0,23,1970,0,0,34312,33282,0,17808,616,17277,2000,0,809,0,2000,19346,60000
2000,47819,0,36,2200,0,0,50330,48947,0,52175,2200,50894,2500,0,2100,0,2500,53652,110000
452,0,-1,53,165,-1,-1,526,165,-2,397,459,452,526,-2,397,1,485,485,260000
1070,48522,2,46,3754,2,0,29516,50955,0,29898,654,29742,1,0,1030,3,863,24883,50000
0,-2,-2,29,0,-2,-2,-2,-2,-2,-2,0,-2,0,-2,0,1,0,-2,180000
1000,26361,0,28,1710,0,-1,1100,18826,-2,767,1000,2100,1100,-1,767,0,6173,6173,230000
2190,50396,-1,55,44665,-1,-2,8300,44665,-2,24599,77195,2190,8321,-2,24599,-2,7416,7416,340000
673,10540,0,28,0,2,0,11237,10232,0,20973,7000,11427,1483,0,10000,1,11540,31857,60000
0,0,-2,43,0,-2,-1,0,0,-2,1600,0,0,0,-1,1600,1,78388,78388,400000
5645,143464,0,28,5795,0,0,151905,146943,0,156664,5865,153538,7408,0,5753,0,6370,160361,190000
6000,156882,0,30,10000,0,0,159988,160246,0,158762,6000,158114,8000,0,7000,0,7000,159108,260000
0,5916,0,36,1212,0,0,4123,6172,0,978,0,680,1200,-1,978,0,0,978,50000
5000,3097,-2,29,0,-1,0,-2697,-707,-1,6182,13000,2303,0,0,5000,-1,1500,1654,160000
5100,138119,0,31,6600,0,0,140254,137950,0,141748,5000,139679,6500,0,5300,0,6000,142174,140000
0,39128,-1,26,1541,0,-1,1940,20473,0,0,3000,1940,4200,0,0,0,23101,23101,90000
0,-14386,-1,36,10118,-2,-1,3432,-13543,-1,0,10000,-3684,47015,-2,4000,1,100000,1386,200000
1000,15899,2,58,3400,2,2,18122,18720,0,19089,638,18530,0,0,1001,2,634,18856,50000
1100,27679,0,45,1481,0,0,29650,28422,0,30419,1500,29981,2000,0,1200,-1,1500,31127,180000
3870,141315,0,26,6349,0,0,124226,128940,0,113966,3520,113133,5834,0,4000,0,3825,103360,240000
5000,194314,0,34,9010,0,0,193992,179206,0,171253,4400,174675,35000,0,6000,0,5000,169121,380000
2900,83755,0,24,3000,0,0,79044,77431,0,82333,4000,80631,2900,0,3000,0,3500,84462,110000
14000,507726,2,23,10000,3,0,499936,509229,0,484612,19000,505507,0,0,16500,4,16000,419643,500000
2570,71305,0,30,2589,0,0,72029,71151,0,74374,2500,72849,2568,0,2661,0,2781,74610,320000
1262,45734,2,32,0,3,0,43562,44741,0,45008,1590,44039,0,0,1358,4,1275,25775,50000
0,0,-1,40,0,-2,-1,2066,0,0,216,66,2000,2066,-1,216,1,216,216,110000
665,761,-2,35,300,-2,-2,399,300,-2,576,520,665,399,-2,576,-2,613,613,230000
975,47166,0,61,3000,0,0,50476,49396,0,23171,1039,23319,2237,0,1000,0,2000,24774,50000
0,0,-2,40,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,300000
384,20631,0,32,0,2,0,19703,20010,0,10918,616,11084,1168,0,390,3,632,10985,20000
4991,10833,0,28,14000,0,-1,7609,14446,-1,3400,4000,4991,3855,-1,3600,-1,5500,3745,140000
200,1894,2,37,1500,2,0,3381,3200,0,1948,400,3559,400,0,500,2,500,2415,50000
4000,100594,0,36,3000,0,0,91502,78372,0,88616,3300,90859,30000,0,4000,0,3400,88450,140000
0,2948,0,28,1105,0,0,5646,3848,2,5577,95,5464,1903,0,296,-1,500,5889,170000
579,22619,0,25,10010,0,-2,27923,31429,0,0,6305,25280,1209,0,0,0,0,0,80000
9000,338106,0,42,15000,0,0,344464,342904,0,234939,8300,240865,14000,0,8500,0,9000,240176,410000
0,0,-2,38,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,350000
3000,20110,0,29,3000,0,0,18862,17102,0,21214,2000,19996,3000,0,3500,0,2000,21085,140000
0,38000,-1,51,25000,-1,-2,0,25000,-2,0,0,0,0,-2,0,-1,0,0,360000
848,0,-2,22,0,-2,-2,0,0,-2,0,0,848,0,-2,0,-2,632,632,50000
2072,156362,0,29,5233,0,-1,99174,132280,0,28797,6100,65372,3289,0,3018,0,184922,184922,240000
11558,160432,2,29,7500,2,2,159676,163916,2,170098,5654,166893,0,2,5800,2,0,153800,160000
12137,507062,0,37,325,2,0,430637,491956,0,356636,10526,376657,15296,0,12312,1,14113,303510,500000
423,13668,0,27,0,2,0,13135,12647,0,9218,4641,10596,1064,0,313,1,1000,5068,230000
0,11262,-2,32,0,-1,-2,0,0,-2,0,0,0,0,-2,0,-1,0,0,80000
398,199,-1,31,199,-1,-1,199,199,-1,199,398,398,199,0,0,-1,199,199,170000
600,70119,0,27,3600,0,0,66601,68536,0,28949,1000,29401,1646,0,28468,0,1327,29795,70000
5000,212601,0,33,6000,0,0,119362,177946,0,68791,3000,117766,4500,0,3000,0,3000,66167,210000
1695,350,-1,23,350,-1,0,400,350,-1,12645,2400,1695,400,0,11300,-1,485,12584,50000
0,0,-1,26,0,-2,-1,945,0,-1,197,0,0,945,-1,197,1,2995,2995,30000
54,46122,-1,53,1260,-1,-1,29366,1260,0,0,0,5400,29366,0,0,-1,1599,1599,180000
1956,38564,0,42,5000,0,0,32253,38246,0,30900,2102,30384,1485,0,1500,0,0,0,200000
0,96304,0,30,4505,0,0,82227,98007,2,60848,5200,65000,12906,0,2210,0,2300,58880,140000
16000,467150,0,53,0,2,0,469703,458862,0,440982,20000,447130,18000,0,16000,2,21000,434715,600000
130000,255691,0,37,14000,0,0,36638,262736,-1,127402,6000,122388,5022,0,7000,0,6000,131074,260000
1800,78129,0,42,2500,0,0,78553,28202,0,48919,1700,49340,51432,0,1800,0,1800,48443,80000
5000,152510,0,38,5657,0,0,159019,151651,0,126075,5000,123022,10372,0,5000,0,5000,126219,180000
3015,20807,0,26,80000,0,0,100000,99860,-1,23473,4900,3015,3000,-1,23473,0,1148,1448,290000
655,28114,0,32,1610,0,0,25000,28006,0,19860,500,22046,1224,0,627,0,620,19831,230000
307,6160,-1,41,3276,-1,-1,6190,3274,-1,2870,1362,307,6246,-1,2870,-1,670,670,90000
6243,366193,0,41,14020,0,0,375948,372700,0,152127,6012,195991,13595,0,6007,0,6061,155182,400000
1000,27199,0,29,1900,0,0,28937,28358,0,30391,420,29614,1400,0,1100,0,1000,23159,60000
4137,177554,0,31,7600,0,0,172914,180633,0,115494,3517,130139,6303,0,3502,0,4027,117465,190000
0,6865,-1,42,15111,-1,-1,13165,15111,-1,10500,0,0,13165,-1,10500,-1,6992,6992,230000
0,573,-2,32,157,-2,-2,0,0,-2,0,0,0,0,-2,0,-2,0,0,90000
207,98560,0,30,4000,0,0,222102,100980,2,68500,2003,108724,11900,0,2003,0,2003,69174,260000
7000,203183,0,47,7521,0,0,194449,202961,0,200526,7100,196814,7000,0,7128,0,8000,198717,200000
750,15912,0,38,1623,0,0,20565,17272,2,20255,850,20705,3916,2,0,0,800,19933,20000
0,0,-2,53,0,-2,-2,0,0,-2,0,0,0,0,-2,0,-2,0,0,30000
0,396,-1,35,396,-1,-1,396,396,-1,792,0,0,396,-1,793,-1,1220,1220,160000
1128,42238,0,28,2500,0,2,36696,38741,0,37893,2000,35813,2000,0,2500,0,0,34661,180000
10446,884,-2,26,0,-1,-2,0,0,-1,0,0,10446,0,-1,0,-1,0,0,120000
1300,29509,2,23,2000,2,2,31438,30741,2,32566,1500,31924,1500,2,1300,2,1200,33081,50000
2169,94265,-1,56,2385,0,0,85787,53376,0,79529,732,78762,88678,0,2634,0,3132,80335,100000
2610,68739,0,32,3060,0,0,69188,67629,0,69884,5500,68392,3300,0,2750,0,2750,71284,70000
2600,67374,0,32,3200,0,0,70937,69489,0,73505,3000,71761,3200,0,2900,0,2700,74827,210000
13000,34549,0,23,2836,0,0,19334,18552,0,19322,1000,18165,1200,0,1500,0,9000,19575,50000
780,97538,0,30,2454,0,0,17518,49187,0,18079,637,17710,1588,0,803,0,673,18302,50000
871,4073,2,46,2400,0,0,6143,6394,2,6652,251,6908,0,2,0,0,244,6785,10000
3700,92638,2,40,600,2,2,95768,90905,2,99005,3800,97004,7300,2,3700,1,4000,101213,110000
0,28778,2,36,0,3,0,28286,28039,2,28189,1500,27533,1000,0,1100,2,1100,28805,30000
87,30092,0,24,1553,0,-1,30178,30486,0,14718,330,29735,5000,-1,14761,0,29514,29427,100000
3000,50620,0,31,5000,0,0,44237,43220,0,47751,5000,46495,3000,0,2000,0,5000,51941,390000
1100,50715,0,56,2500,0,0,28185,51073,0,30399,1017,28842,1500,0,2000,0,1500,29977,50000
2400,57192,0,53,2800,0,0,59658,58472,0,61593,0,60466,2753,0,2255,0,4767,65163,210000
6621,5780,0,34,12006,-1,-1,15736,12006,-1,2457,1712,6621,5736,-1,2457,-1,14923,14923,270000
6739,7244,-2,35,8514,-2,-2,1738,8472,-2,2391,13407,6706,1751,-2,2403,-2,11137,11082,250000
10573,7071,-1,28,1510,-1,-1,3545,401,-1,10132,16071,10540,3575,-1,10155,-1,6240,6220,360000
800,35429,0,26,1537,0,0,30241,30626,0,19166,683,20284,1947,0,1000,0,718,19567,50000
0,3128,-1,60,5156,-1,-1,1089,5156,0,3177,0,489,1089,-1,3177,-2,1009,1009,160000
4082,5994,-1,31,13647,-1,-1,8308,32223,-1,538,0,4082,8314,2,0,-1,4085,4085,80000
0,0,-1,28,780,-1,-2,0,780,-2,0,0,0,0,-2,0,1,0,0,30000
1700,50300,0,42,2200,0,0,49111,50898,0,45775,0,48943,1600,0,1700,0,0,0,50000
0,0,-2,43,0,-2,-2,0,0,-2,0,0,0,0,-2,0,1,0,0,220000
7017,268112,0,29,9429,0,0,259969,263368,0,245462,7300,255832,8738,0,7154,0,7073,250244,360000
0,-475,2,36,10000,-1,-1,4606,5191,0,2768,10780,2303,0,-1,2768,-1,65373,65373,300000
390,390,-1,59,390,-1,-1,390,390,-1,390,0,390,390,-1,390,-1,1320,1320,30000
924,26450,2,28,3007,2,2,28171,28823,0,30454,3000,28740,0,0,2070,2,0,29930,140000
0,22746,2,34,0,2,2,24121,22099,2,25101,1030,23437,2700,2,2200,1,0,24549,50000
5000,40882,0,24,2000,0,0,39680,35428,0,42543,3000,44097,5000,2,0,0,2000,33189,110000
0,3280,-2,29,0,0,-1,0,0,-2,0,0,0,0,-2,0,0,2650,2650,360000
1601,48226,0,37,2000,0,0,46228,48727,0,43686,2000,46755,1684,0,2000,0,2000,44573,50000
965,21724,0,33,2100,0,0,23320,23168,0,24149,8399,24085,1200,0,64,0,509,3323,150000
0,0,-2,37,0,-2,-1,0,0,-2,595,2370,0,0,-1,595,1,0,0,200000
3000,36146,0,39,3000,0,0,37511,36184,0,30223,2000,33080,3000,0,2500,0,2000,31561,150000
